id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_merk,produk_dihasilkan,tahun
67,32,JAWA BARAT,3273,KOTA BANDUNG,JUMANJI,"FRUITY JELLY RASA LECI, FRUITY JELLY RASA STRAWBERRY, FRUITY JELLY RASA
  MOCCA, FRUITY JELLY RASA MELON",2017
68,32,JAWA BARAT,3273,KOTA BANDUNG,DEÂHAY,"KUE KERING, CAKE",2017
69,32,JAWA BARAT,3273,KOTA BANDUNG,JUICE THROUGH EAT TOO,"APPLE PINEAPPLE LEMON, CARROT ORANGE PEAR LEMON, BEETROOT CARROTÂ  APPLE LEMON, BOKCHOI APPLE PINEAPPLE LEMON,
  ROMAINE RED DRAGON CUCUMBER APPLE PINRAPPLE LEMON",2017
70,32,JAWA BARAT,3273,KOTA BANDUNG,BISOU PREMIUM COOKIES,KUE KERING,2017
71,32,JAWA BARAT,3273,KOTA BANDUNG,DRINK ME,MINUMAN SERBUK,2017
72,32,JAWA BARAT,3273,KOTA BANDUNG,AJ,"PISANG KEJU, PISANG AROMA, PISANG COKELAT, PISANG SELIMUT KEJU",2017
73,32,JAWA BARAT,3273,KOTA BANDUNG,BUNGBU,"SAMBAL LADA HITAM, SAMBAL IJO, SAMBAL GORENG KENTANG, SAMBAL GORENG TEMPE",2017
74,32,JAWA BARAT,3273,KOTA BANDUNG,ROCKET SEBLAK,"ROCKET SEBLAK, GAGAL PEDAS, PEDAS MINIMAL, PEDAS MAKSIMAL",2017
75,32,JAWA BARAT,3273,KOTA BANDUNG,KABITA BAWANG GORENG,"BAWANG GORENG (DENGAN TEPUNG), BAWANG GORENG MURNI",2017
76,32,JAWA BARAT,3273,KOTA BANDUNG,DAWALAKU,"SAMBAL BAWANG, SAMBAL CABE IJO, SAMBAL TERASI, SAMBAL TERI, SAMBAL CUMI",2017
77,32,JAWA BARAT,3273,KOTA BANDUNG,CIDATOP,"MAKARONI GORENG RASA : SOTO LEVEL 1-3, KARE LEVEL 1-3, RENDANG LEVEL 1-3
  DAN BAWANG LEVEL 1-3",2017
78,32,JAWA BARAT,3273,KOTA BANDUNG,TINÂS KUE,"KUE KERING, BROWNIES",2017
79,32,JAWA BARAT,3273,KOTA BANDUNG,TARO CHIPS HM,KERIPIK TALAS,2017
80,32,JAWA BARAT,3273,KOTA BANDUNG,KATLA,"RED GINGER, JUS BIOLA, MADU MERAH PUTIH, MADU LEMON, MADU KRISTAL",2017
81,32,JAWA BARAT,3273,KOTA BANDUNG,ZAYN,"TEPUNG KACANG HIJAU, TEPUNG KACANG KEDELAI, TEPUNG BERAS MERAH",2017
82,32,JAWA BARAT,3273,KOTA BANDUNG,PISAMALA,"PISANG GORENG ACEH, MOLEN PISANG ACEH, SARIKAYA PISANG ACEH",2017
83,32,JAWA BARAT,3273,KOTA BANDUNG,PUN BOJO,"ULEN, CIRENG BUMBU",2017
84,32,JAWA BARAT,3273,KOTA BANDUNG,SVJ,"MACARONI SCHOTEL, MACARONI BOLOGNASE, BAKED POTATO, BAKED POTATO,
  LASAGNA, SPICY MAC MOZA",2017
85,32,JAWA BARAT,3273,KOTA BANDUNG,ZHAZAN,"PIE PISANG, COKLAT KURMA, BOLU KUKUS, KETAN HITAM, BOLU PISANG, BOLU
  PEUYEUM",2017
86,32,JAWA BARAT,3273,KOTA BANDUNG,OOOOO ENAAAK!!!!,"TENTENG EMPING, SALE PISANG GORENG",2017
87,32,JAWA BARAT,3273,KOTA BANDUNG,QAISYARA,"EGG ROLL ORIGINAL, EGG ROLL WIJEN",2017
88,32,JAWA BARAT,3273,KOTA BANDUNG,GRIYA ROTI UNYIL,ROTI,2017
89,32,JAWA BARAT,3273,KOTA BANDUNG,ADESHA,"RENDANG SUIR DAGING SAPI, RENDANG DAGING SAPI, RENDANG PARU SAPI, RENDANG
  HATI SAPI, RENDANG DAGING AYAM, RENDANG TELUR",2017
90,32,JAWA BARAT,3273,KOTA BANDUNG,AMBUING,"BAGELEN ORIGINAL, BAGELEN KEJU, ROTI MANIS KEJU, ROTI MANIS COKLAT, ROTI
  MANIS SELAI STRAWBERRY, ROTI MANIS BUTTER CREAM, ROTI MANIS PISANG",2017
